franchise_id,season,season_source,template,completeness,name_raw,name_order,birth_year_2digit,age,approx_birth_year,tier,candidate_ids,candidate_names,already_has_season_row,note,disposition,disposition_note
mets_guaynabo,2013,capture_year,widget,full,Antonio Latimer,given_first,,35,1978,2_approx_birth_confirmed,193,"Latimer Rivera, Antonio",yes,"exact_name, birth year agrees (source ~1978, canon 1978, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2013,capture_year,widget,full,Daniel Santiago,given_first,,37,1976,2_approx_birth_confirmed,427,"Santiago Lynn, Daniel",yes,"exact_name, birth year agrees (source ~1976, canon 1976, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2013,capture_year,widget,full,Larry Ayuso,given_first,,36,1977,2_approx_birth_confirmed,574,"Ayuso Carrillo, Elias",yes,"exact_name, birth year agrees (source ~1977, canon 1977, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, alias-table fix: approx-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
mets_guaynabo,2013,capture_year,widget,full,Manuel Antonio Narvaez,given_first,,32,1981,2_approx_birth_confirmed,1562,"Narvaez Rivera, Manuel Antonio",yes,"exact_name, birth year agrees (source ~1981, canon 1981, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2015,capture_year,widget,full,Angel Garcia,given_first,,27,1988,2_approx_birth_confirmed,2857,"Garcia Garcia, Angel L.",yes,"exact_name, birth year agrees (source ~1988, canon 1988, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, alias-table fix: approx-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
mets_guaynabo,2015,capture_year,widget,full,Cedric Jackson,given_first,,29,1986,2_approx_birth_confirmed,13019,"Jackson, Cedric",no,"exact_name, birth year agrees (source ~1986, canon 1986, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2015,capture_year,widget,full,Elias Ayuso,given_first,,38,1977,2_approx_birth_confirmed,574,"Ayuso Carrillo, Elias",yes,"exact_name, birth year agrees (source ~1977, canon 1977, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2015,capture_year,widget,full,Jorge Bryan Diaz,given_first,,26,1989,2_approx_birth_confirmed,2780,"Diaz Hernandez, Jorge Bryan",yes,"exact_name, birth year agrees (source ~1989, canon 1989, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, alias-table fix: approx-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
mets_guaynabo,2015,capture_year,widget,full,Mickael Pietrus,given_first,,33,1982,2_approx_birth_confirmed,12975,"Pietrus, Mickael",no,"exact_name, birth year agrees (source ~1982, canon 1982, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2015,capture_year,widget,full,Rasham Suarez,given_first,,23,1992,2_approx_birth_confirmed,12961,"Suarez Donis, Rasham",yes,"exact_name, birth year agrees (source ~1992, canon 1992, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2015,capture_year,widget,full,Richard Chaney,given_first,,31,1984,2_approx_birth_confirmed,2664,"Chaney, Richard",yes,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
mets_guaynabo,2015,capture_year,widget,full,Rick Apodaca,given_first,,35,1980,2_approx_birth_confirmed,2028,"Apodaca Perez, Rick",no,"exact_name, birth year agrees (source ~1980, canon 1980, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
